scenario,x_metric,y_metric,pearson_r
tilted_plate_impact,epsF,linear_impulse_error,0.3699891240786377
tilted_plate_slide,epsF,linear_impulse_error,0.027509547152208127
all,epsF,linear_impulse_error,0.02578764353934449
tilted_plate_impact,epsM,angular_impulse_error,0.47881832897192056
tilted_plate_slide,epsM,angular_impulse_error,0.07940286341028704
all,epsM,angular_impulse_error,0.06876403078788103
tilted_plate_impact,epsCoP,ang_vel_error,0.12461553831003984
tilted_plate_slide,epsCoP,ang_vel_error,-0.11542470176416555
all,epsCoP,ang_vel_error,-0.022708293098296573
tilted_plate_impact,epsGap,energy_drift_diff,-0.17997550722498457
tilted_plate_slide,epsGap,energy_drift_diff,-0.13507053830231427
all,epsGap,energy_drift_diff,-0.1509594219422056
tilted_plate_impact,temporal_hausdorff,ang_vel_error,0.26097219288344004
tilted_plate_slide,temporal_hausdorff,ang_vel_error,0.21527927588567192
all,temporal_hausdorff,ang_vel_error,0.22369576314935552
tilted_plate_impact,temporal_mean_drift,angular_impulse_error,0.029603820382705905
tilted_plate_slide,temporal_mean_drift,angular_impulse_error,0.096091409738563
all,temporal_mean_drift,angular_impulse_error,0.06388912731915516
tilted_plate_impact,support_churn,linear_impulse_error,0.01061544851531063
tilted_plate_slide,support_churn,linear_impulse_error,0.0006345253967251913
all,support_churn,linear_impulse_error,0.00632506164466445
